matricula,tipo,parking,chofer,fecha,estado
R7984BDD,ASTILLERA- ITV CADUCADA - NO COGER EXTINTORES,PARKING LORIGUILLA,,07/01/2025,disponible
R7532BDJ,ASTILLERA,CALLE BASE,,02/04/2025,disponible
R2045BDL,ASTILLERA,CALLE BASE,,02/04/2025,disponible
R7531BDJ,ASTILLERA,CALLE BASE,,02/04/2025,disponible
R7533BDJ,ASTILLERA,CALLE BASE,,02/04/2025,disponible
R0256BDD,LONA CARGADA,MADRID - TALLER,CARLOS,14/05,disponible
R7478BCX,LONA,PARKING LORIGUILLA,,06-jun,disponible
R7332BDB,LONA,PARKING LORIGUILLA,,25-jun,disponible
R5341BCX,LONA,PARKING LORIGUILLA,,16-jun,disponible
R8759BCZ,LONA,PARKING LORIGUILLA,,18-jun,disponible
R5340BCX,LONA,PARKING LORIGUILLA,,19-jun,disponible
R3046BDS,LONA - SOLER,PICASSENT,,20-jun,disponible
R4207BDD,LONA,PARKING LORIGUILLA,2306 ALFONSO GAR,,disponible
R3045BDS,LONA,PARKING LORIGUILLA,,25-jun,disponible
R3900BDC,FRIGO TALLER,,,,disponible
R6670BDP,,,,,disponible
R3985BCW,FRIGO ZGZ SUSTITUCION,,,,disponible
R2350BDL,MENORCA,,,,disponible
